method,type,format,cases,routing_exact_pct,model_size_mb,median_latency_s,p95_latency_s,parse_failure_pct,avg_prompt_tps,avg_gen_tps,avg_temp_c,total_time_s
Keyword-only,Deterministic,rules,320,96.5625,,,,0.0,,,,
Qwen3 0.6B,General tiny LLM,json,320,86.875,461.788,7.095367,7.995878650000001,5.0,6.188314425847324,3.8931582053062352,78.32755937499999,2312.451
Qwen3.5 0.8B,General tiny LLM,yaml,320,85.625,507.848,5.814864,6.14641555,4.375,10.467714422605589,4.343029890986648,79.365478125,1830.032
Needle FT08 ep3,Needle,native tool call,320,67.8125,,2.198638038506033,3.243035454039637,,,,,
Base Needle,Needle,native tool call,320,47.5,,2.2212403234952944,3.065426365297025,,,,,
