method,model,format,cases,model_size_mb,routing_exact_count,routing_exact_pct,tool_only_pct,parse_failure_count,parse_failure_pct,gpio_exact_pct,other_exact_pct,model_load_time_s,total_time_s,avg_latency_s,median_latency_s,p95_latency_s,avg_prompt_tps,avg_gen_tps,avg_temp_c,max_temp_c
Qwen3 0.6B,qwen3-0.6b-Q4_K_M.gguf,json,320,461.788,278,86.875,87.8125,16,5.0,98.46938775510205,68.54838709677419,3.642,2312.451,7.213199925,7.0953669999999995,7.995878650000001,6.188314425847324,3.8931582053062352,78.32755937499999,81.315
Qwen3.5 0.8B,Qwen3.5-0.8B-Q4_K_M.gguf,yaml,320,507.848,274,85.625,87.8125,14,4.375,96.42857142857143,68.54838709677419,17.071,1830.032,5.663180665625,5.814864,6.1464155499999995,10.467714422605587,4.343029890986648,79.365478125,81.315
