format,models,mean_routing_exact_pct,mean_tool_only_pct,total_parse_failures,mean_total_time_s,mean_prompt_tps,mean_gen_tps,mean_temp_c
json,7,30.952380952380953,36.19047619047619,111,337.5247142857143,13.559688089720382,6.29658202066153,80.21577142857143
yaml,7,33.333333333333336,35.238095238095234,123,337.44557142857144,15.171419369690561,7.438895575406467,81.03439523809524
xml,7,6.19047619047619,9.523809523809524,185,413.89685714285713,14.201027578450644,6.0839401352454665,81.38225238095238
natural,7,24.28571428571429,25.714285714285715,149,298.59014285714284,15.594195100192424,7.522056857663997,81.55154285714286
