model,model_size_mb,best_format,best_routing_exact_pct,best_tool_only_pct,best_gpio_exact_pct,best_other_exact_pct,best_parse_failure_count,model_load_time_s,total_screen_time_s,avg_prompt_tps,avg_gen_tps,avg_temp_c,max_temp_c
Llama-3.2-1B-Instruct-Q4_K_M.gguf,770.277,yaml,53.333333333333336,56.666666666666664,31.25,78.57142857142857,9,22.675,2278.573,5.699163786425435,3.072855353400209,78.551275,82.289
Qwen3.5-0.8B-Q4_K_M.gguf,507.848,yaml,86.66666666666667,90.0,75.0,100.0,2,17.575,903.502,10.627575109374767,4.278584215012156,81.62343333333334,83.263
SmolLM2-135M-Instruct-Q4_K_M.gguf,100.569,yaml,3.3333333333333335,3.3333333333333335,0.0,7.142857142857143,28,3.513,669.259,27.312210006288886,16.379790543899446,82.85310833333334,84.237
SmolLM2-360M-Instruct-Q4_K_M.gguf,258.055,natural,13.333333333333334,13.333333333333334,0.0,28.571428571428573,26,8.035,929.48,12.608449798299086,7.824728125813057,82.252475,84.724
gemma-3-270m-it-Q4_K_M.gguf,241.39,json,6.666666666666667,10.0,12.5,0.0,12,9.034,661.112,32.65851021224397,8.179157151421595,79.330475,81.802
qwen3-0.6b-Q4_K_M.gguf,461.788,json,83.33333333333333,90.0,81.25,85.71428571428571,1,15.623,942.976,7.644776961324382,4.356562710908682,79.97980833333334,82.289
tinyllama-1.1b-chat-v1.0.Q4_K_M.gguf,637.806,yaml,10.0,13.333333333333334,12.5,7.142857142857143,24,17.088,3422.851,5.870391867637994,3.755902430255409,82.73135833333333,84.724
