run,cases,positive_cases,negative_cases,tool_selection_accuracy,argument_accuracy_given_correct_tool,exact_action_accuracy_positive,no_call_accuracy_negative,raw_overall_accuracy,gated_overall_accuracy,execution_count,execution_precision,valid_action_coverage,false_action_count,wrong_positive_execution_count,false_action_rate_negative,mean_confidence,mean_confidence_correct,mean_confidence_incorrect,latency_mean_s,latency_median_s,latency_p95_s
baseline,500,380,120,0.49473684210526314,0.9574468085106383,0.47368421052631576,0.875,0.57,0.46,150,0.74,0.29210526315789476,1,38,0.008333333333333333,0.5770628,0.6922870175438597,0.4243237209302326,1.620917922,1.520961,2.28850735
revA,500,380,120,0.5552631578947368,0.7725118483412322,0.42894736842105263,0.7583333333333333,0.508,0.386,98,0.7551020408163265,0.19473684210526315,1,23,0.008333333333333333,0.374562,0.4974484251968504,0.2476792682926829,6.684368276,6.5016285,9.240301400000002
revB,500,380,120,0.5605263157894737,0.9389671361502347,0.5263157894736842,0.8666666666666667,0.608,0.532,183,0.8032786885245902,0.3868421052631579,1,35,0.008333333333333333,0.5727656,0.7296565789473684,0.3294244897959184,1.691931758,1.5177999999999998,2.8394982
